Year,Month,Author(s),Title,Journal,DOI,Declaration,Documentation,Notes
2021,8,"Jouault, Corentin; Nel, Andre",A new genus and species of Aulacidae (Hymenoptera: Evanioidea) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104799,No,No,
2021,8,"Wagner, Philipp; Stanley, Edward L.; Daza, Juan D.; Bauer, Aaron M.",A new agamid lizard in mid-Cretaceous amber from northern Myanmar,CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104813,No,No,
2021,8,"Rasnitsyn, Alexandr P.; Oehm-Kuehnle, Christoph",Non-aculeate hymenoptera in the Cretaceous ambers of the world,CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104805,No,No,
2021,8,"Poinar, George O., Jr.; Brown, Alex E.; Legalov, Andrei A.",First record of the subfamily Chilecarinae (Coleoptera; Ithyceridae) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104793,No,No,
2021,8,"Yu, Tingting; Salvador, Rodrigo B.; Jarzembowski, Edmund A.",New terrestrial gastropods of Pupinidae and Diplommatinidae (Cyclophoroidea) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104828,No,No,
2021,8,"Li, Longfeng; Shih, Chungkun; Yang, Jingtao; Wang, Lixia; Li, Daqing; Ren, Dong",New amber record of Braconidae (Insecta: Hymenoptera) from the mid-Cretaceous of Myanmar,CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104794,No,No,
2021,8,"Yin, Zi-Wei; Cai, Chen-Yang",A new Brachyglutini from mid-Cretaceous amber of northern Myanmar (Coleoptera: Staphylinidae: Pselaphinae),CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104807,No,No,
2021,9,"Kobor, Peter; Roca-Cusachs, Marcos",Pseudocaulisoculus longicornis: description of a new yuripopovinid true bug from mid-Cretaceous Burmese amber (Heteroptera: Coreoidea: Yuripopovinidae),CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104849,No,No,
2021,9,"Yin, Zi-Wei; Zhao, Qing-Hao; Cai, Chen-Yang","Megabythinus gen. nov., a new stem-group Pselaphinae from mid-Cretaceous Myanmar amber (Coleoptera, Staphylinidae)",CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104879,No,No,
2021,9,"Fu, Yanzhe; Szwedo, Jacek; Huang, Diying","A new sinoalid froghopper in mid-Cretaceous amber from northern Myanmar (Hemiptera, Cicadomorpha, Sinoalidae)",CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104841,No,No,
2021,9,"Song, Zhi-Shun; Zhang, Chen-Ling; Xi, Hao-Yuan; Szwedo, Jacek; Bourgoin, Thierry","First record of adult Dorytocidae d Dorytocus jiaxiaoae Song, Szwedo & Bourgoin sp. nov. (Hemiptera: Fulgoromorpha: Fulgoroidea) from mid-Cretaceous Kachin amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104863,No,No,
2021,9,"Wang, Zhen; Olmi, Massimo; Shih, Chungkun; Ren, Dong; Gao, Taiping","New species of Hybristodryinus from mid-Cretaceous Myanmar amber (Hymenoptera, Dryinidae)",CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104861,No,No,
2021,9,"Tihelka, Erik; Huang, Diying; Cai, Chenyang",A new genus of giant sooty mould beetles from mid-Cretaceous Burmese amber (Coleoptera: Cyclaxyridae),CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104876,No,No,
2021,9,"Jiang, Rixin; Song, Haitian; Zhang, Hongrui; Wang, Shuo","Burmagrilus cretacus gen. et sp. nov., the first Buprestidae from mid-Cretaceous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2021.104866,No,No,
2020,1,"Maheu, Aude; Nel, Andre",The oldest representative of the bombyliid bee fly in the earliest Eocene French amber,ACTA PALAEONTOLOGICA POLONICA,10.4202/app.00657.2019,No,No,
2020,2,"Poinar, George","A mid-Cretaceous pycnidia, Palaeomycus epallelus gen. et sp. nov., in Myanmar amber",HISTORICAL BIOLOGY,10.1080/08912963.2018.1481836,No,No,
2020,2,"Demers-Potvin, Alexandre, V; Szwedo, Jacek; Paragnan, Cassia P.; Larsson, Hans C. E.","First North American occurrence of hairy cicadas discovered in the Cenomanian (Late Cretaceous) of Labrador, Canada",ACTA PALAEONTOLOGICA POLONICA,10.4202/app.00669.2019,NOT FOCUSED ON MYANMAR,,
2020,3,"Sroka, Pavel; Staniczek, Arnold H.","Retention of cervical and abdominal gills in the adult of a new fossil stonefly (Insecta, Plecoptera, Petroperlidae) from mid-Cretacous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2019.104277,No,No,"""The piece of amber was acquired from a trader by German collector Patrick Müller, who kindly donated the specimen to the State Museum of Natural History Stuttgart (SMNS), Germany"""
2020,3,"Kment, Petr; Carapezza, Attilio; Jindra, Zdenek",Taxonomic catalogue of the family Ochteridae with description of Ochterus papaceki sp. nov. from Socotra Island and Tanzania (Hemiptera: Heteroptera),ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,10.37520/aemnp.2020.003,No,No,
2020,4,"Jarzembowski, Edmund A.; Wang, Bo; Zheng, Daran",An archaic-beetle 'Jaws' from mid-Cretaceous Burmese amber (Coleoptera: Archostemata),PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION,10.1016/j.pgeola.2020.02.003,No,No,
2020,5,"Perrichot, Vincent; Wang, Bo; Barden, Phillip",New remarkable remarkable hell ants (Formicidae: Haidomyrmecinae stat. nov.) from mid-Cretaceous amber of northern Myanmar,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104381,No,No,
2020,5,"Wang, Yimo; Wang, Mei; Rasnitsyn, A. P.; Shih, Chungkun; Ren, Dong; Kopylov, Dmitry S.; Gao, Taiping","A new anaxyelid sawfly (Insecta, Hymenoptera, Siricoidea) in mid-Cretaceous Myanmar amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104372,No,No,
